domain,date_added
88acres.com,string
aluratek.com,string
arcadiapublishing.com,string
beautybyearth.com,string
bloomplanners.com,string
harmlessharvest.com,string
hensonshaving.com,string
hippeas.com,string
itoen.com,string
jasonmarkk.com,string
javahouse.com,string
juniperridge.com,string
lockly.com,string
lyres.com,string
madebymitchell.co.uk,string
magicmind.com,string
malkorganics.com,string
megababebeauty.com,string
mybkr.com,string
neurogan.com,string
nguyencoffeesupply.com,string
nutricost.com,string
paktbags.com,string
pupford.com,string
puritycoffee.com,string
seawitchbotanicals.com,string
sundaycitizen.co,string
theoutset.com,string
